Timestamp,1. Age Group,2. Education Level,3. Employment Status,4. Area of Residence,5. Do you have a bank account?,6. Do you use mobile wallet services (JazzCash/Easypaisa etc.)?,7. Have you ever applied for a loan?,8. Have you ever used a mobile loan app (digital lending app)?,"9. If yes, was the loan approved?","10. If approved, what was the loan amount?",11. Do you think mobile loan apps make it easier for women to get loans?,12. Do you trust mobile app-based loan systems?,13. Do you think women face more difficulty than men in getting loans?,14. What is the biggest barrier for women to get loans?,15. Do you think alternative credit scoring can be biased against women?,16. Do you think digital credit improves women’s financial independence?,17. Do you think digital loans help women in business/self-employment?,18. Do you think digital loans increase debt problems due to high interest?,19. What should be improved in digital loan systems for women?,20. Any additional comments/suggestions?
2026-05-08 19:47:22.181,25–34,No formal education,Employed,Semi-urban,Yes,No,No,Yes,No,Not applicable,No,Yes,Yes,Low income,Yes,Yes,Yes,Yes,Better customer support,...
2026-05-08 19:48:34.167,35–44,Secondary,Unemployed,Rural,Yes,Yes,Yes (from bank),Yes,No,"5,000–20,000",Yes,Yes,No,Lack of smartphone/internet,No,Yes,Yes,Yes,"Longer repayment time, Better customer support",..
2026-05-08 19:49:42.609,45–54,No formal education,Self-employed / Business,Urban,Yes,No,Yes (from mobile loan app),Yes,Yes,"5,000–20,000",No,Yes,Yes,No credit history,Yes,Yes,Yes,Yes,More transparency in scoring,111
2026-05-08 19:50:20.872,18–24,College/University,Student,Urban,No,Yes,No,No,No,Not applicable,Maybe,Partially,Not sure,Low income,Not sure,Yes,Yes,No,"Lower interest rates, More transparency in scoring",No
2026-05-08 19:55:05.347,25–34,Primary,Unemployed,Rural,No,No,Yes (from friends/family),Yes,Yes,"5,000–20,000",Yes,Yes,No,Lack of smartphone/internet,No,Yes,No,Maybe,Longer repayment time,
2026-05-08 20:04:52.172,18–24,College/University,Unemployed,Semi-urban,No,No,No,No,No,"Less than 5,000",No,No,Yes,No collateral,Yes,Yes,No,No,More transparency in scoring,
2026-05-08 20:06:03.031,18–24,College/University,Student,Rural,No,No,No,No,No,Not applicable,Maybe,No,Not sure,Other,Not sure,Somewhat,Not sure,Maybe,"Lower interest rates, Longer repayment time, More transparency in scoring, Better customer support, Better privacy protection, Financial literacy programs",
2026-05-08 20:24:52.617,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Yes,Partially,Yes,No credit history,Yes,Somewhat,Yes,Yes,"More transparency in scoring, Financial literacy programs",
2026-05-08 20:49:42.430,25–34,Postgraduate,Employed,Rural,Yes,No,No,No,No,Not applicable,No,No,No,Lack of smartphone/internet,No,No,No,No,Better customer support,
2026-05-08 20:52:14.285,18–24,College/University,Employed,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,No,Not sure,Low income,Not sure,Somewhat,Not sure,Maybe,Financial literacy programs,
2026-05-08 21:39:08.991,18–24,College/University,Employed,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,No,Not sure,Other,Not sure,No,No,No,Better privacy protection,
2026-05-09 10:36:01.210,25–34,College/University,Unemployed,Urban,No,Yes,No,No,Not applicable,Not applicable,No,No,Not sure,Other,Not sure,Yes,Not sure,Maybe,Financial literacy programs,Those women are finest how servive in her budget 
2026-05-10 16:45:44.512,18–24,College/University,Employed,Urban,Yes,Yes,No,No,No,Not applicable,Maybe,Partially,Not sure,Family/cultural restrictions,Not sure,Yes,Not sure,Maybe,"Better customer support, Better privacy protection",No thanks wasted my time already 
2026-05-10 16:45:47.806,18–24,Postgraduate,Employed,Urban,Yes,No,No,No,No,Not applicable,Maybe,No,Not sure,Other,Not sure,Somewhat,Yes,Yes,Financial literacy programs,
2026-05-11 18:03:00.690,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Yes,Yes,Yes,Low income,Yes,Yes,Yes,Yes,"Lower interest rates, Longer repayment time, More transparency in scoring, Better customer support, Better privacy protection, Financial literacy programs",
